2018-05-09 14:48:06,603 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,668 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,726 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,785 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,845 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,899 DEBUG   Thread-7   [connectionpool.py:_make_request():396] https://api.wandb.ai:443 "POST /trainai/digits/hpvpmpp6/file_stream HTTP/1.1" 200 23
2018-05-09 14:48:06,908 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:06,971 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,033 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,096 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,155 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,220 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,280 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,340 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,404 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,467 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,525 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,587 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,647 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,708 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,770 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,828 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,891 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:07,953 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:08,017 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:08,077 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:08,136 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:08,201 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:08,260 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:08,325 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
2018-05-09 14:48:08,382 DEBUG   Thread-6   [inotify_buffer.py:run():61] in-event <InotifyEvent: src_path=/home/riballes/git-repos/ml-class/keras-cnn/wandb/run-20180509_214759-hpvpmpp6/output.log, wd=1, mask=IN_MODIFY, cookie=0, name=output.log>
